asset,time,AdrActCnt,FeeTotNtv,TxCnt,download_timestamp
btc,2024-01-01 00:00:00+00:00,827239,212.54134993,655722,2025-06-29 16:50:53.838759
btc,2024-01-02 00:00:00+00:00,867688,139.99686991,364237,2025-06-29 16:50:53.838759
btc,2024-01-03 00:00:00+00:00,940343,146.47629682,502203,2025-06-29 16:50:53.838759
btc,2024-01-04 00:00:00+00:00,1010934,127.5893122,482718,2025-06-29 16:50:53.838759
btc,2024-01-05 00:00:00+00:00,813324,117.05381845,416347,2025-06-29 16:50:53.838759
btc,2024-01-06 00:00:00+00:00,808917,85.70416723,389306,2025-06-29 16:50:53.838759
btc,2024-01-07 00:00:00+00:00,713381,76.09066339,348435,2025-06-29 16:50:53.838759
btc,2024-01-08 00:00:00+00:00,756849,128.0165037,409400,2025-06-29 16:50:53.838759
btc,2024-01-09 00:00:00+00:00,902934,110.41254939,470829,2025-06-29 16:50:53.838759
btc,2024-01-10 00:00:00+00:00,839431,82.64575047,384427,2025-06-29 16:50:53.838759
btc,2024-01-11 00:00:00+00:00,960999,102.19403968,450822,2025-06-29 16:50:53.838759
btc,2024-01-12 00:00:00+00:00,987727,106.05743161,367870,2025-06-29 16:50:53.838759
btc,2024-01-13 00:00:00+00:00,845713,131.8837983,667027,2025-06-29 16:50:53.838759
btc,2024-01-14 00:00:00+00:00,722721,219.67908398,591106,2025-06-29 16:50:53.838759
btc,2024-01-15 00:00:00+00:00,786699,112.7937371,401054,2025-06-29 16:50:53.838759
btc,2024-01-16 00:00:00+00:00,782242,126.17373793,469892,2025-06-29 16:50:53.838759
btc,2024-01-17 00:00:00+00:00,809220,103.88545904,455050,2025-06-29 16:50:53.838759
btc,2024-01-18 00:00:00+00:00,897358,120.55348118,480795,2025-06-29 16:50:53.838759
btc,2024-01-19 00:00:00+00:00,806018,83.78486085,461325,2025-06-29 16:50:53.838759
btc,2024-01-20 00:00:00+00:00,817313,71.44540606,565601,2025-06-29 16:50:53.838759
btc,2024-01-21 00:00:00+00:00,767739,72.44586642,593968,2025-06-29 16:50:53.838759
btc,2024-01-22 00:00:00+00:00,951076,74.76848331,451204,2025-06-29 16:50:53.838759
btc,2024-01-23 00:00:00+00:00,865990,89.1242877,368563,2025-06-29 16:50:53.838759
btc,2024-01-24 00:00:00+00:00,899326,59.76162066,368789,2025-06-29 16:50:53.838759
btc,2024-01-25 00:00:00+00:00,1101397,64.07678258,347123,2025-06-29 16:50:53.838759
btc,2024-01-26 00:00:00+00:00,892906,55.07790175,496525,2025-06-29 16:50:53.838759
btc,2024-01-27 00:00:00+00:00,965883,58.15742689,603739,2025-06-29 16:50:53.838759
btc,2024-01-28 00:00:00+00:00,898096,56.24412183,629248,2025-06-29 16:50:53.838759
btc,2024-01-29 00:00:00+00:00,959589,55.39170629,580828,2025-06-29 16:50:53.838759
btc,2024-01-30 00:00:00+00:00,907924,51.42742245,524001,2025-06-29 16:50:53.838759
btc,2024-01-31 00:00:00+00:00,870798,50.31202889,437107,2025-06-29 16:50:53.838759
btc,2024-02-01 00:00:00+00:00,933880,56.57506216,410372,2025-06-29 16:50:53.838759
btc,2024-02-02 00:00:00+00:00,932903,66.0573781,432087,2025-06-29 16:50:53.838759
btc,2024-02-03 00:00:00+00:00,820828,179.6426965,515129,2025-06-29 16:50:53.838759
btc,2024-02-04 00:00:00+00:00,802004,96.51447226,331515,2025-06-29 16:50:53.838759
btc,2024-02-05 00:00:00+00:00,852467,64.6181784,281772,2025-06-29 16:50:53.838759
btc,2024-02-06 00:00:00+00:00,865722,52.45518052,280196,2025-06-29 16:50:53.838759
btc,2024-02-07 00:00:00+00:00,901234,73.47071811,425025,2025-06-29 16:50:53.838759
btc,2024-02-08 00:00:00+00:00,818130,53.1170405,287438,2025-06-29 16:50:53.838759
btc,2024-02-09 00:00:00+00:00,950564,53.96871698,330447,2025-06-29 16:50:53.838759
btc,2024-02-10 00:00:00+00:00,963958,41.20815866,406003,2025-06-29 16:50:53.838759
btc,2024-02-11 00:00:00+00:00,840255,28.29055111,323411,2025-06-29 16:50:53.838759
btc,2024-02-12 00:00:00+00:00,1013562,68.03312947,413637,2025-06-29 16:50:53.838759
btc,2024-02-13 00:00:00+00:00,843469,47.85561801,305214,2025-06-29 16:50:53.838759
btc,2024-02-14 00:00:00+00:00,803805,53.34423438,298455,2025-06-29 16:50:53.838759
btc,2024-02-15 00:00:00+00:00,892019,38.40744736,309299,2025-06-29 16:50:53.838759
btc,2024-02-16 00:00:00+00:00,836256,32.57596823,306995,2025-06-29 16:50:53.838759
btc,2024-02-17 00:00:00+00:00,850883,28.82609461,330435,2025-06-29 16:50:53.838759
btc,2024-02-18 00:00:00+00:00,748090,24.63543514,346126,2025-06-29 16:50:53.838759
btc,2024-02-19 00:00:00+00:00,867774,29.1540239,366190,2025-06-29 16:50:53.838759
btc,2024-02-20 00:00:00+00:00,866223,32.07407978,396745,2025-06-29 16:50:53.838759
btc,2024-02-21 00:00:00+00:00,821320,31.54219389,369350,2025-06-29 16:50:53.838759
btc,2024-02-22 00:00:00+00:00,855859,28.3018489,366922,2025-06-29 16:50:53.838759
btc,2024-02-23 00:00:00+00:00,938307,30.46340271,403218,2025-06-29 16:50:53.838759
btc,2024-02-24 00:00:00+00:00,819174,26.10222917,342157,2025-06-29 16:50:53.838759
btc,2024-02-25 00:00:00+00:00,894568,24.05579339,421219,2025-06-29 16:50:53.838759
btc,2024-02-26 00:00:00+00:00,887140,33.0921629,355313,2025-06-29 16:50:53.838759
btc,2024-02-27 00:00:00+00:00,917983,48.62101767,388230,2025-06-29 16:50:53.838759
btc,2024-02-28 00:00:00+00:00,1054242,60.83395661,415406,2025-06-29 16:50:53.838759
btc,2024-02-29 00:00:00+00:00,989364,74.63737446,407609,2025-06-29 16:50:53.838759
btc,2024-03-01 00:00:00+00:00,1058499,58.46513507,415081,2025-06-29 16:50:53.838759
btc,2024-03-02 00:00:00+00:00,843207,42.06457924,342086,2025-06-29 16:50:53.838759
btc,2024-03-03 00:00:00+00:00,868123,47.46206023,385135,2025-06-29 16:50:53.838759
btc,2024-03-04 00:00:00+00:00,889591,84.378542,358771,2025-06-29 16:50:53.838759
btc,2024-03-05 00:00:00+00:00,1163884,101.03408688,424703,2025-06-29 16:50:53.838759
btc,2024-03-06 00:00:00+00:00,922558,66.67707272,381467,2025-06-29 16:50:53.838759
btc,2024-03-07 00:00:00+00:00,1034779,52.0775472,437969,2025-06-29 16:50:53.838759
btc,2024-03-08 00:00:00+00:00,947450,47.73634254,424558,2025-06-29 16:50:53.838759
btc,2024-03-09 00:00:00+00:00,915625,40.77661246,362520,2025-06-29 16:50:53.838759
btc,2024-03-10 00:00:00+00:00,862638,36.33400092,363011,2025-06-29 16:50:53.838759
btc,2024-03-11 00:00:00+00:00,1150718,41.46573431,393001,2025-06-29 16:50:53.838759
btc,2024-03-12 00:00:00+00:00,1016389,38.34777079,344882,2025-06-29 16:50:53.838759
btc,2024-03-13 00:00:00+00:00,1093495,35.2733557,387845,2025-06-29 16:50:53.838759
btc,2024-03-14 00:00:00+00:00,1000634,34.48419108,330080,2025-06-29 16:50:53.838759
btc,2024-03-15 00:00:00+00:00,963220,37.00099633,311078,2025-06-29 16:50:53.838759
btc,2024-03-16 00:00:00+00:00,916345,37.64116141,355299,2025-06-29 16:50:53.838759
btc,2024-03-17 00:00:00+00:00,861558,25.29065756,365645,2025-06-29 16:50:53.838759
btc,2024-03-18 00:00:00+00:00,910571,42.62561643,417117,2025-06-29 16:50:53.838759
btc,2024-03-19 00:00:00+00:00,974102,45.63946834,459004,2025-06-29 16:50:53.838759
btc,2024-03-20 00:00:00+00:00,942142,32.95557912,360623,2025-06-29 16:50:53.838759
btc,2024-03-21 00:00:00+00:00,819742,38.64095953,328692,2025-06-29 16:50:53.838759
btc,2024-03-22 00:00:00+00:00,915500,37.52921992,347556,2025-06-29 16:50:53.838759
btc,2024-03-23 00:00:00+00:00,908728,23.77739181,315648,2025-06-29 16:50:53.838759
btc,2024-03-24 00:00:00+00:00,918817,21.25186473,331993,2025-06-29 16:50:53.838759
